NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Salto Grande,33,18,17,8,15,13,21,22
Sandovalina,9,8,7,2,4,5,6,8
Santana da Ponte Pensa,0,0,0,0,0,0,0,2
Santana de Parnaíba,246,284,252,151,138,137,357,359
Santópolis do Aguapeí,4,12,8,7,5,2,2,3
Santos,2366,2105,1802,913,727,944,3215,2593
Sarapuí,24,18,13,20,15,10,17,16
Sarutaiá,4,6,1,5,4,1,6,5
Sebastianópolis do Sul,8,4,0,3,2,6,6,2
Serra Azul,17,12,12,14,6,9,16,15
Serra Negra,63,60,85,37,36,47,33,54
Serrana,147,149,174,67,59,92,108,105
Sertãozinho,585,408,407,167,184,220,335,249
Sete Barras,30,22,27,20,9,19,18,13
Severínia,36,18,12,10,8,12,17,19
Silveiras,8,5,1,3,1,3,4,5
